vin,year,make,model,trim,price,mileage,body_style,seats,features,photo_url,listing_url,location,dealer_phone,doc_fee,stock_number
1GCNKREC2JZ302443,2018,Chevrolet,Silverado 1500,LT LT1 Long Bed,39500,21207,,,White; Cloth; 6 Speed Automatic; EcoTec3 5.3L V8; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24204785/639234795750533019.jpg,https://www.craigandlandrethcars.com/vdp/24204785/Used-2018-Chevrolet-Silverado-1500-LT-LT1-Long-Bed-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21032
5J8TC2H89PL017397,2023,Acura,RDX,A-Spec and Advance Packages,39400,25510,,,Apex Blue Pearl; PERFORATED MILANO PREMIUM LEATHER-TRIMMED INTERIOR; Automatic; 4 Cylinder Engine; AWD,https://imagescdn.dealercarsearch.com/Media/3833/24224036/639234186559548363.jpg,https://www.craigandlandrethcars.com/vdp/24224036/Used-2023-Acura-RDX-ASpec-and-Advance-Packages-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48206
2T2HZMDA1NC351706,2022,Lexus,RX 350,AWD,39300,66145,,,Silver; Premium Synthetic; 8 Speed Automatic; 3.5L V6 DOHC 24V; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24005711/639233643939014903.jpg,https://www.craigandlandrethcars.com/vdp/24005711/Used-2022-Lexus-RX-350-AWD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20856A
1GCUDEEDXNZ582822,2022,Chevrolet,Silverado 1500,RST,39000,63174,,,Red; Cloth; 10 Speed; EcoTec3 5.3L V8; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24126831/639233645372036792.jpg,https://www.craigandlandrethcars.com/vdp/24126831/Used-2022-Chevrolet-Silverado-1500-RST-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20794A
1C6PJTAGXSL529831,2025,Jeep,Gladiator,High Tide 4x4,38800,5531,,,White; Leather; 8 Speed Automatic; 3.6L V6 24V VVT; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23851005/639233643885626349.jpg,https://www.craigandlandrethcars.com/vdp/23851005/Used-2025-Jeep-Gladiator-High-Tide-4x4-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20758
3C63R3JL9JG311055,2018,RAM,3500,Laramie Crew Cab LWB 4WD,38800,140392,,,Brilliant Black Crystal Pearlcoat; 6-SPEED AUTOMATIC 68RFE; Straight 6 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24243820/639234767708397720.jpg,https://www.craigandlandrethcars.com/vdp/24243820/Used-2018-RAM-3500-Laramie-Crew-Cab-LWB-4WD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D46533B
3GCPDKEK2RG306506,2024,Chevrolet,Silverado 1500,LT,38800,19033,,,White; Cloth; 8 Speed Automatic; 2.7L I4 Turbocharged DOHC 16V LEV3-SULEV30 310hp; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24217858/639231772058378018.jpg,https://www.craigandlandrethcars.com/vdp/24217858/Used-2024-Chevrolet-Silverado-1500-LT-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21049
3GCPDKEK7RG315380,2024,Chevrolet,Silverado 1500,LT,38700,15370,,,Blue; Cloth; 8 Speed Automatic; 2.7L I4 Turbocharged DOHC 16V LEV3-SULEV30 310hp; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24217850/639236091944501287.jpg,https://www.craigandlandrethcars.com/vdp/24217850/Used-2024-Chevrolet-Silverado-1500-LT-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21050
5NTJEDDF0TH160237,2026,Hyundai,Santa Cruz,Limited,38700,576,,,Black; Leather; 8-Speed Automatic with SHIFTRONIC; 2.5L I4; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24001846/639233643950925725.jpg,https://www.craigandlandrethcars.com/vdp/24001846/Used-2026-Hyundai-Santa-Cruz-Limited-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20903
1FDWE3FK2PDD32042,2023,Ford,Econoline,E-350 Super Duty,38650,13719,,,Not Specified; 7.3LV8 OHV 16V; RWD,https://imagescdn.dealercarsearch.com/Media/1123/24168635/639233541419405437.jpg,https://www.craigandlandrethcars.com/vdp/24168635/Used-2023-Ford-Econoline-E350-Super-Duty-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,d48337
1FDWE3FK8PDD14838,2023,Ford,Econoline,E-350 Super Duty,38614,14114,,,Oxford White; 6-SPEED O/D W/TOW HAUL; 8 Cylinder Engine; RWD,https://imagescdn.dealercarsearch.com/Media/3833/24243812/639234767507885914.jpg,https://www.craigandlandrethcars.com/vdp/24243812/Used-2023-Ford-Econoline-E350-Super-Duty-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48338
5N1AZ3CS5SC127073,2025,Nissan,Murano,SL AWD,38500,9087,,,Everest White Pearl Tricoat; PVC (LEATHERETTE) SEAT TRIM; Automatic; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168815/639233544108961090.jpg,https://www.craigandlandrethcars.com/vdp/24168815/Used-2025-Nissan-Murano-SL-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48325
2C4RC1GGXTR232414,2026,Chrysler,Pacifica,Limited,38100,16837,,,White; Leather; 9 Speed Automatic; 3.6L V6 24V VVT; FWD,https://imagescdn.dealercarsearch.com/Media/1129/23979099/639233643956977053.jpg,https://www.craigandlandrethcars.com/vdp/23979099/Used-2026-Chrysler-Pacifica-Limited-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20895
1FTBR1Y87SKA71914,2025,Ford,Transit,250 Van,37990,16081,,,Oxford White; 10-Speed Shiftable Automatic; V6 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168663/639233541920284470.jpg,https://www.craigandlandrethcars.com/vdp/24168663/Used-2025-Ford-Transit-250-Van-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48264
1N6ED1EK5RN604960,2024,Nissan,Frontier,PRO-4X Crew Cab 4WD,37750,21089,,,Boulder Gray Pearl; PRO EMBROIDERED PREMIUM CLOTH SEAT TRIM; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168710/639233542807319976.jpg,https://www.craigandlandrethcars.com/vdp/24168710/Used-2024-Nissan-Frontier-PRO4X-Crew-Cab-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48339
YV4L12UC9T2740193,2026,Volvo,XC40,B5 Plus Dark AWD,37733,10146,,,SIL; Automatic; 4 Cylinder Engine; AWD,https://imagescdn.dealercarsearch.com/Media/3833/24218202/639233615242071816.jpg,https://www.craigandlandrethcars.com/vdp/24218202/Used-2026-Volvo-XC40-B5-Plus-Dark-AWD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48292
1GCPKBEK3SZ304680,2025,Chevrolet,Silverado 1500,Custom,37700,19888,,,White; Cloth; 8 Speed Automatic; 2.7L I4 Turbocharged DOHC 16V LEV3-SULEV30 310hp; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24217841/639233646349560437.jpg,https://www.craigandlandrethcars.com/vdp/24217841/Used-2025-Chevrolet-Silverado-1500-Custom-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21046
1GTG6EENXN1224568,2022,GMC,Canyon,Denali Crew Cab 4WD,37700,27963,,,Gray; Leather; 8 Speed Automatic; V6; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24152900/639233645617704719.jpg,https://www.craigandlandrethcars.com/vdp/24152900/Used-2022-GMC-Canyon-Denali-Crew-Cab-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20788A
YV4L12RL6R1777841,2024,Volvo,XC60,B5 Plus Dark AWD,37588,28977,,,Denim Blue Metallic; Automatic; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168849/639233543785647862.jpg,https://www.craigandlandrethcars.com/vdp/24168849/Used-2024-Volvo-XC60-B5-Plus-Dark-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48229
2C3CDXCT1NH198028,2022,Dodge,Charger,R/T,37500,30630,,,Orange; Leather; 8 Speed Automatic; HEMI 5.7L V8 Multi Displacement VVT; RWD,https://imagescdn.dealercarsearch.com/Media/1129/24175617/639232779663113752.jpg,https://www.craigandlandrethcars.com/vdp/24175617/Used-2022-Dodge-Charger-RT-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21001
3C6LRVDG5TE152575,2026,RAM,Promaster,2500 High Roof 159-in. WB,37000,15840,,,Bright White Clearcoat; TORQUEFLITE FWD; V6 Cylinder Engine; Front Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168741/639233542327144192.jpg,https://www.craigandlandrethcars.com/vdp/24168741/Used-2026-RAM-Promaster-2500-High-Roof-159in-WB-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48079
1GTU9FEL0MZ163746,2021,GMC,Sierra 1500,Denali Ultimate 4WD Crew Cab,37000,100420,,,White; Leather; 10 Speed; EcoTec3 6.2L V8; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24113695/639233499886940783.jpg,https://www.craigandlandrethcars.com/vdp/24113695/Used-2021-GMC-Sierra-1500-Denali-Ultimate-4WD-Crew-Cab-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20738A
KM8R7DHE8NU387628,2022,Hyundai,Palisade,Calligraphy AWD,36850,42465,,,Abyss Black Pearl; PREMIUM NAPPA LEATHER SEAT TRIM; Automatic; V6 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24235066/639233543372460032.jpg,https://www.craigandlandrethcars.com/vdp/24235066/Used-2022-Hyundai-Palisade-Calligraphy-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48110
1GNERKKW6PJ179178,2023,Chevrolet,Traverse,Premier FWD,36800,41474,,,Mosaic Black Metallic; PERFORATED LEATHER-APPOINTED SEAT TRIM; 9 Speed Automatic; V6 Cylinder Engine; FWD,https://imagescdn.dealercarsearch.com/Media/3833/24219490/639233615443793392.jpg,https://www.craigandlandrethcars.com/vdp/24219490/Used-2023-Chevrolet-Traverse-Premier-FWD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48369
1GCRKAED4SZ218167,2025,Chevrolet,Silverado 1500,Work Truck Double Cab 4WD,36800,12497,,,Red; Cloth; 10 Speed; EcoTec3 5.3L V8; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23973254/639233643916663883.jpg,https://www.craigandlandrethcars.com/vdp/23973254/Used-2025-Chevrolet-Silverado-1500-Work-Truck-Double-Cab-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20867
W1K5J4HB4PN391611,2023,Mercedes-Benz,CLA-Class,CLA250 4MATIC,36777,14787,,,Rose Gold Metallic; Automatic; 4 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218171/639233615041090491.jpg,https://www.craigandlandrethcars.com/vdp/24218171/Used-2023-MercedesBenz-CLAClass-CLA250-4MATIC-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48018A
2T3P1RFV5SC537109,2025,Toyota,RAV4,XLE AWD,36500,32878,,,Silver Sky Metallic; FABRIC SEAT TRIM; 8-Speed Automatic w/Sequential Shift Mode; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/DealerImages/1123/1123_newarrivalphoto.jpg,https://www.craigandlandrethcars.com/vdp/24235414/Used-2025-Toyota-RAV4-XLE-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48456
5XYRH4JF2SG328415,2025,Kia,Sorento,EX,36400,17057,,,Gray; Premium Synthetic; 8 Speed Dual Clutch; 2.5L I4 DGI Turbocharged DOHC 16V LEV3-SULEV30 281; FWD,https://imagescdn.dealercarsearch.com/Media/1129/24184782/639223275964778051.jpg,https://www.craigandlandrethcars.com/vdp/24184782/Used-2025-Kia-Sorento-EX-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21008
1G6DX5RK9P0132492,2023,Cadillac,CT5,Luxury+ AWD,36333,28820,,,Black Raven; INTELUXE SEATS; Automatic; 4 Cylinder Engine; AWD,https://imagescdn.dealercarsearch.com/Media/3833/24218149/639233614839766663.jpg,https://www.craigandlandrethcars.com/vdp/24218149/Used-2023-Cadillac-CT5-Luxury-AWD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48166
JTHGZ1E2XM5018338,2021,Lexus,IS 350,F Sport AWD,36300,81744,,,White; Premium Synthetic; 6 Speed Automatic; 3.5L V6 DOHC Dual VVT-i 24V; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24056511/639233645002227974.jpg,https://www.craigandlandrethcars.com/vdp/24056511/Used-2021-Lexus-IS-350-F-Sport-AWD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20883A
5UXCX6C08L9B64413,2020,BMW,X7,M50i,36280,78963,,,Mineral White Metallic; VERNASCA LEATHER UPHOLSTERY; Automatic; 8 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168789/639233543878505396.jpg,https://www.craigandlandrethcars.com/vdp/24168789/Used-2020-BMW-X7-M50i-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48286
W1K3G5BB0LJ205729,2020,Mercedes-Benz,A-Class,AMG A 35,35900,32766,,,Mountain Grey Metallic; Auto-Shift Manual; 4 Cylinder Engine; 4MATIC,https://imagescdn.dealercarsearch.com/Media/1123/24193332/639233544631665669.jpg,https://www.craigandlandrethcars.com/vdp/24193332/Used-2020-MercedesBenz-AClass-AMG-A-35-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48382
JM1NDAM79S0650018,2025,Mazda,MX-5 Miata RF,Grand Touring 6MT,35800,6551,,,Aero Gray Metallic; NAPPA LEATHER-TRIMMED UPHOLSTERY; Automatic; 4 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168780/639233543875469893.jpg,https://www.craigandlandrethcars.com/vdp/24168780/Used-2025-Mazda-MX5-Miata-RF-Grand-Touring-6MT-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48266
4JGFF5KE4LA136897,2020,Mercedes-Benz,GLS-Class,GLS450 4MATIC,35479,72460,,,Mojave Silver Metallic; Automatic; V6 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218188/639233615241876931.jpg,https://www.craigandlandrethcars.com/vdp/24218188/Used-2020-MercedesBenz-GLSClass-GLS450-4MATIC-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48259
JTEBU5JR1J5567230,2018,Toyota,4Runner,Limited,35400,69764,,,Gray; Leather; 5 Speed Automatic; 4.0L V6 SMPI DOHC; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23989335/639233643969980011.jpg,https://www.craigandlandrethcars.com/vdp/23989335/Used-2018-Toyota-4Runner-Limited-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20890
1FTFW1RG1JFD04113,2018,Ford,F-150,Raptor SuperCrew 4WD,34849,138031,,,Oxford White; ELECTRONIC 10-SPEED AUTOMATIC; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24106678/639233541949327826.jpg,https://www.craigandlandrethcars.com/vdp/24106678/Used-2018-Ford-F150-Raptor-SuperCrew-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47951A
4T3RWRFV2SU177712,2025,Toyota,RAV4 Hybrid,XLE,34800,42070,,,Magnetic Gray Metallic; CVT w/Sequential Shift Mode; 2.5L L4 DOHC 16V HYBRID; AWD,https://imagescdn.dealercarsearch.com/Media/1123/24173911/639233544289590739.jpg,https://www.craigandlandrethcars.com/vdp/24173911/Used-2025-Toyota-RAV4-Hybrid-XLE-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48366
5XYP64GC9SG682314,2025,Kia,Telluride,S,34800,37382,,,Midnight Lake Blue; SYNTEX SYNTHETIC LEATHER SEAT TRIM; 8-Speed Shiftable Automatic; V6 Cylinder Engine; Front Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24173912/639233544336175384.jpg,https://www.craigandlandrethcars.com/vdp/24173912/Used-2025-Kia-Telluride-S-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48363
1FA6P8TH1T5113264,2026,Ford,Mustang,EcoBoost Premium Coupe,34777,11400,,,Adriatic Blue; Automatic; 4 Cylinder Engine; RWD,https://imagescdn.dealercarsearch.com/Media/3833/24218153/639233614639415408.jpg,https://www.craigandlandrethcars.com/vdp/24218153/Used-2026-Ford-Mustang-EcoBoost-Premium-Coupe-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48398
1C6RRFBG5NN478040,2022,RAM,1500,Big Horn/Lone Star,34500,16471,,,White; Cloth; 8 Speed Automatic; 3.6L V6 24V VVT; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24130262/639233645435566704.jpg,https://www.craigandlandrethcars.com/vdp/24130262/Used-2022-RAM-1500-Big-HornLone-Star-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20980
1C4PJXDN9RW155781,2024,Jeep,Wrangler,Unlimited Sport S 4x4,34300,10080,,,Gray; Cloth; 8 Speed Automatic; 2.0L I4 DOHC; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24051699/639229323958870344.jpg,https://www.craigandlandrethcars.com/vdp/24051699/Used-2024-Jeep-Wrangler-Unlimited-Sport-S-4x4-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20942
JM3KKBHD4S1246916,2025,Mazda,CX-90,Preferred,34277,16775,,,Deep Crystal Blue Mica; LEATHER SEAT TRIM; Automatic; Straight 6 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24235022/639233543445225177.jpg,https://www.craigandlandrethcars.com/vdp/24235022/Used-2025-Mazda-CX90-Preferred-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48126
4S4BTALC5S3272830,2025,Subaru,Outback,Onyx Edition,34200,9331,,,Brown; Premium Synthetic; CVT Lineartronic; 2.5L 4-Cylinder DOHC 16V; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24229006/639232635496769029.jpg,https://www.craigandlandrethcars.com/vdp/24229006/Used-2025-Subaru-Outback-Onyx-Edition-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21056
7SAYGDEEXPA081160,2023,Tesla,Model Y,Long Range,33800,44280,,,WHI; Automatic; Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168776/639233543854191703.jpg,https://www.craigandlandrethcars.com/vdp/24168776/Used-2023-Tesla-Model-Y-Long-Range-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48255
3FMCR9CN5SRE26652,2025,Ford,Bronco Sport,Outer Banks 4x4,33800,10433,,,Red; Cloth; 8 Speed Automatic; 1.5L EcoBoost; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24011945/639233643952451229.jpg,https://www.craigandlandrethcars.com/vdp/24011945/Used-2025-Ford-Bronco-Sport-Outer-Banks-4x4-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20646A
5GAERBKW3PJ263338,2023,Buick,Enclave,Essence FWD,33789,24814,,,Cherry Red Tintcoat; PERFORATED LEATHER-APPOINTED SEATS; 9 Speed Automatic; V6 Cylinder Engine; FWD,https://imagescdn.dealercarsearch.com/Media/3833/24218191/639233615241876931.jpg,https://www.craigandlandrethcars.com/vdp/24218191/Used-2023-Buick-Enclave-Essence-FWD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48290
1N6ED1EK5PN631587,2023,Nissan,Frontier,SV Crew Cab 4WD,33711,24236,,,Glacier White; SEAT TRIM; Automatic; V6 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218167/639233615040850939.jpg,https://www.craigandlandrethcars.com/vdp/24218167/Used-2023-Nissan-Frontier-SV-Crew-Cab-4WD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48340
1GKKNLLS0PZ165520,2023,GMC,Acadia,SLE,33333,74981,,,"Summit White; PERFORATED LEATHER-APPOINTED SEAT TRIM; 9-SPEED AUTOMATIC, ELECTRONICALLY-CONTROLLED; V6 Cylinder Engine; All Wheel Drive",https://imagescdn.dealercarsearch.com/Media/1123/24235006/639233542519250575.jpg,https://www.craigandlandrethcars.com/vdp/24235006/Used-2023-GMC-Acadia-SLE-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48210
2HKRS4H49RH408383,2024,Honda,CR-V,EX AWD,32800,16651,,,Meteorite Gray Metallic; CLOTH SEAT TRIM; CVT; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168711/639233542744713204.jpg,https://www.craigandlandrethcars.com/vdp/24168711/Used-2024-Honda-CRV-EX-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48341
58AB11D19MU001889,2021,Lexus,ES 250,Base,32773,22347,,,WHI; 2.5L L4 DOHC 16V; AWD,https://imagescdn.dealercarsearch.com/Media/3833/24193306/639236495210835035.jpg,https://www.craigandlandrethcars.com/vdp/24193306/Used-2021-Lexus-ES-250-Base-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48048
YV4L12UJ7S2472113,2025,Volvo,XC40,B5 Core AWD,32700,12410,,,Onyx Black Metallic; Automatic; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168835/639233543082075210.jpg,https://www.craigandlandrethcars.com/vdp/24168835/Used-2025-Volvo-XC40-B5-Core-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48119
1C4HJXFN6KW669305,2019,Jeep,Wrangler,Unlimited Rubicon,32596,74649,,,Black Clearcoat; 8 Speed Automatic; 4 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218141/639233614940369503.jpg,https://www.craigandlandrethcars.com/vdp/24218141/Used-2019-Jeep-Wrangler-Unlimited-Rubicon-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D46960D
3TMAZ5CN7PM207877,2023,Toyota,Tacoma,SR5 Double Cab Long Bed V6 6AT 2WD,32000,56964,,,Ice Cap; 6-Speed Shiftable Automatic; 3.5L V6 DOHC 24V; RWD,https://imagescdn.dealercarsearch.com/Media/1123/24168748/639236132804200373.jpg,https://www.craigandlandrethcars.com/vdp/24168748/Used-2023-Toyota-Tacoma-SR5-Double-Cab-Long-Bed-V6-6AT-2WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47998A
3GTP9EEL9KG245365,2019,GMC,Sierra 1500,AT4 Crew Cab Long Box 4WD,32000,128243,,,"Summit White; PERFORATED LEATHER-APPOINTED SEAT TRIM; 10-SPEED AUTOMATIC, ELECTRONICALLY CONTROLLED; 8 Cylinder Engine; Four Wheel Drive",https://imagescdn.dealercarsearch.com/Media/1123/24168808/639233542728854028.jpg,https://www.craigandlandrethcars.com/vdp/24168808/Used-2019-GMC-Sierra-1500-AT4-Crew-Cab-Long-Box-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47823B
1P3EW65G4YV605196,2000,Plymouth,Prowler,Base,31850,25433,,,Not Specified; REAR-MOUNTED 4-SPEED ELECTRONICALLY CONTROLLED AUT; V6 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168700/639233542596999613.jpg,https://www.craigandlandrethcars.com/vdp/24168700/Used-2000-Plymouth-Prowler-Base-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48282B
1C4RDJDG9RC234173,2024,Dodge,Durango,GT AWD,31800,31489,,,White; Cloth; 8 Speed Automatic; 3.6L V6 24V VVT; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24124878/639233645360667597.jpg,https://www.craigandlandrethcars.com/vdp/24124878/Used-2024-Dodge-Durango-GT-AWD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20979
2T2BZMCA3JC146146,2018,Lexus,RX,350,31700,71320,,,White; Leather; 8 Speed Automatic; 3.5L V6 DOHC 24V; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24192183/639235371420344842.jpg,https://www.craigandlandrethcars.com/vdp/24192183/Used-2018-Lexus-RX-350-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21010
JTJSARDZ7L2229221,2020,Lexus,NX 300,F SPORT AWD,31500,,,,Atomic Silver; Automatic; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168781/639236426032919085.jpg,https://www.craigandlandrethcars.com/vdp/24168781/Used-2020-Lexus-NX-300-F-SPORT-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48270
1C4RJHBG7PC537650,2023,Jeep,Grand Cherokee,Limited,31500,27080,,,Black; Leather; 8 Speed Automatic; 3.6L V6 24V VVT; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24083192/639233645046743036.jpg,https://www.craigandlandrethcars.com/vdp/24083192/Used-2023-Jeep-Grand-Cherokee-Limited-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20955
JN8BT3CA8SW011712,2025,Nissan,Rogue,SL,31500,7387,,,White; Leather; CVT; 1.5L DOHC; FWD,https://imagescdn.dealercarsearch.com/Media/1129/23897115/639233643929121632.jpg,https://www.craigandlandrethcars.com/vdp/23897115/Used-2025-Nissan-Rogue-SL-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20808
1GCGSCEC9P1269468,2023,Chevrolet,Colorado,LT Crew Cab 2WD,31400,29060,,,Summit White; CLOTH SEAT TRIM; 8-SPEED AUTOMATIC; 4 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/DealerImages/1123/1123_newarrivalphoto.jpg,https://www.craigandlandrethcars.com/vdp/24168701/Used-2023-Chevrolet-Colorado-LT-Crew-Cab-2WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48285
3C6LRVBG7NE107207,2022,RAM,Promaster,1500 High Roof 136-in. WB,31333,24276,,,Bright White Clearcoat; Automatic; V6 Cylinder Engine; FWD,https://imagescdn.dealercarsearch.com/Media/3833/24239000/639233903550779945.jpg,https://www.craigandlandrethcars.com/vdp/24239000/Used-2022-RAM-Promaster-1500-High-Roof-136in-WB-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48281
5NMP2DGL5SH078275,2025,Hyundai,Santa Fe,SEL AWD,31000,36214,,,Shimmering Silver; H-TEX LEATHERETTE SEAT TRIM; Auto-Shift Manual; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168752/639233543514418551.jpg,https://www.craigandlandrethcars.com/vdp/24168752/Used-2025-Hyundai-Santa-Fe-SEL-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48046
